2023-05-17 20:05:766 INFO  HomePage :110 - click On Find Jobs Button :[[ChromeDriver: chrome on WINDOWS (db041618023575406b9a3c03e1faed2f)] -> xpath: //input[@id='hp-search-btn']]
2023-05-17 20:05:124 INFO  ResultPage :23 - verify The Results :[[ChromeDriver: chrome on WINDOWS (db041618023575406b9a3c03e1faed2f)] -> xpath: //h1[@class='search-header__title']]
2023-05-17 20:05:61 INFO  HomePage :62 - Enter Job Title:<jobTitle>
2023-05-17 20:05:302 INFO  HomePage :68 - Enter Location:Reading
2023-05-17 20:05:450 INFO  HomePage :74 - Select Distance :[[ChromeDriver: chrome on WINDOWS (6b0483b737b802ec06c56b1290878c3b)] -> xpath: //select[@id='distance']]
2023-05-17 20:05:643 INFO  HomePage :86 - Enter MinSalary:<salaryMin>
2023-05-17 20:05:860 INFO  HomePage :92 - Enter MaxSalary :<salaryMax>
2023-05-17 20:05:17 INFO  HomePage :110 - click On Find Jobs Button :[[ChromeDriver: chrome on WINDOWS (6b0483b737b802ec06c56b1290878c3b)] -> xpath: //input[@id='hp-search-btn']]
2023-05-17 20:05:521 INFO  ResultPage :23 - verify The Results :[[ChromeDriver: chrome on WINDOWS (6b0483b737b802ec06c56b1290878c3b)] -> xpath: //h1[@class='search-header__title']]
2023-05-17 20:05:837 INFO  HomePage :62 - Enter Job Title:<jobTitle>
2023-05-17 20:05:98 INFO  HomePage :68 - Enter Location:Peterborough
2023-05-17 20:05:255 INFO  HomePage :74 - Select Distance :[[ChromeDriver: chrome on WINDOWS (ddd10c6a4e557f58b51853ce82b1cc7b)] -> xpath: //select[@id='distance']]
2023-05-17 20:05:446 INFO  HomePage :86 - Enter MinSalary:<salaryMin>
2023-05-17 20:05:680 INFO  HomePage :92 - Enter MaxSalary :<salaryMax>
2023-05-17 20:05:836 INFO  HomePage :110 - click On Find Jobs Button :[[ChromeDriver: chrome on WINDOWS (ddd10c6a4e557f58b51853ce82b1cc7b)] -> xpath: //input[@id='hp-search-btn']]
2023-05-17 20:05:504 INFO  ResultPage :23 - verify The Results :[[ChromeDriver: chrome on WINDOWS (ddd10c6a4e557f58b51853ce82b1cc7b)] -> xpath: //h1[@class='search-header__title']]
2023-05-17 20:05:934 INFO  HomePage :62 - Enter Job Title:<jobTitle>
2023-05-17 20:05:244 INFO  HomePage :68 - Enter Location:Milton Keynes
2023-05-17 20:05:432 INFO  HomePage :74 - Select Distance :[[ChromeDriver: chrome on WINDOWS (5ac69a4895542bcbb867013a00a57c32)] -> xpath: //select[@id='distance']]
2023-05-17 20:05:648 INFO  HomePage :86 - Enter MinSalary:<salaryMin>
2023-05-17 20:05:906 INFO  HomePage :92 - Enter MaxSalary :<salaryMax>
2023-05-17 20:05:75 INFO  HomePage :110 - click On Find Jobs Button :[[ChromeDriver: chrome on WINDOWS (5ac69a4895542bcbb867013a00a57c32)] -> xpath: //input[@id='hp-search-btn']]
2023-05-17 20:05:652 INFO  ResultPage :23 - verify The Results :[[ChromeDriver: chrome on WINDOWS (5ac69a4895542bcbb867013a00a57c32)] -> xpath: //h1[@class='search-header__title']]
